,precision,recall,f1-score,support
0,0.9772727272727273,0.6615384615384615,0.7889908256880734,65.0
1,0.08333333333333333,0.6666666666666666,0.14814814814814814,3.0
accuracy,0.6617647058823529,0.6617647058823529,0.6617647058823529,0.6617647058823529
macro avg,0.5303030303030303,0.6641025641025641,0.4685694869181108,68.0
weighted avg,0.9378342245989305,0.6617647058823529,0.7607183546201356,68.0
