,precision,recall,f1-score,support
0,0.9222222222222223,0.7155172413793104,0.8058252427184466,116.0
1,0.4406779661016949,0.7878787878787878,0.5652173913043478,33.0
accuracy,0.7315436241610739,0.7315436241610739,0.7315436241610739,0.7315436241610739
macro avg,0.6814500941619586,0.7516980146290491,0.6855213170113972,149.0
weighted avg,0.8155714809337834,0.7315436241610739,0.7525362554925054,149.0
