,precision,recall,f1-score,support
0,0.8979591836734694,0.7586206896551724,0.822429906542056,116.0
1,0.45098039215686275,0.696969696969697,0.5476190476190477,33.0
accuracy,0.7449664429530202,0.7449664429530202,0.7449664429530202,0.7449664429530202
macro avg,0.6744697879151661,0.7277951933124347,0.6850244770805518,149.0
weighted avg,0.7989638808543552,0.7449664429530202,0.7615657565792421,149.0
