,precision,recall,f1-score,support
0,0.8817204301075269,0.7068965517241379,0.784688995215311,116.0
1,0.39285714285714285,0.6666666666666666,0.4943820224719101,33.0
accuracy,0.697986577181208,0.697986577181208,0.697986577181208,0.697986577181208
macro avg,0.6372887864823349,0.6867816091954022,0.6395355088436105,149.0
weighted avg,0.7734486953473747,0.697986577181208,0.7203928200439538,149.0
