,precision,recall,f1-score,support
0,0.9636363636363636,0.8153846153846154,0.8833333333333333,65.0
1,0.07692307692307693,0.3333333333333333,0.125,3.0
accuracy,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.7941176470588235
macro avg,0.5202797202797202,0.5743589743589743,0.5041666666666667,68.0
weighted avg,0.9245166598107775,0.7941176470588235,0.8498774509803921,68.0
