,precision,recall,f1-score,support
0,0.9036144578313253,0.646551724137931,0.7537688442211056,116.0
1,0.3787878787878788,0.7575757575757576,0.5050505050505051,33.0
accuracy,0.6711409395973155,0.6711409395973155,0.6711409395973155,0.6711409395973155
macro avg,0.641201168309602,0.7020637408568443,0.6294096746358053,149.0
weighted avg,0.7873776987143204,0.6711409395973155,0.6986835744719122,149.0
