Feature,Importance
loc,0.24938829
cbm,0.12576988
wmc,0.05965182
max_cc,0.05692838
npm,0.05354071
dam,0.038384266
cbo,0.0361048
noc,0.0350197
ce,0.034748964
cam,0.034468524
avg_cc,0.03423321
lcom,0.033803415
mfa,0.03355478
moa,0.03169718
ic,0.030767687
rfc,0.024865853
lcom3,0.024758201
amc,0.023882205
dit,0.023639556
ca,0.014792634
